Month,Year,n_visitor,bombing
May,2018,573766,0
June,2018,624366,0
July,2018,544550,0
August,2018,528512,0
September,2018,516777,0
October,2018,492678,0
November,2018,452423,0
December,2018,358065,0
January,2019,552403,0
February,2019,497925,0
March,2019,567967,0
April,2019,590398,0
May,2019,606412,0
June,2019,604323,0
July,2019,549516,0
August,2019,486602,0
September,2019,477069,0
October,2019,449569,0
November,2019,437456,0
December,2019,455570,0
January,2020,150,0
February,2020,53,0
March,2020,63,0
April,2020,8,0
May,2020,12,0
June,2020,16,0
July,2020,45,0
August,2020,36,0
September,2020,379,0
October,2020,167461,0
November,2020,364639,0
December,2020,536611,0
January,2021,0,0
February,2021,6,0
March,2021,2,0
April,2021,0,0
May,2021,0,0
June,2021,0,0
July,2021,1,0
August,2021,8,0
September,2021,9,0
October,2021,3,0
November,2021,12,0
December,2021,10,0
January,2022,377276,0
February,2022,287398,0
March,2022,305244,0
April,2022,291162,0
May,2022,276659,0
June,2022,246504,0
July,2022,181625,0
August,2022,115611,0
September,2022,58335,0
October,2022,14620,0
November,2022,1310,0
December,2022,3,0
